;uddt;drytoilet;pour.flush;udft;tab;drainage;organic.solidwaste;urine.storagetank;dehydration.vault;faecesstorage.chamber;single.pit;double.pit;twin.pits;composting.chamber;vermi.composter;septic.tank;motorized.transport.urine;humanpowered.transport.urine;motorized.transport.dry;humanpowered.transport.dry;conventional.sewer;solidsfree.sewer;urine.bank;struvite.production;drying.bed;faecesdrying.bed;sedimentation.pond;abr;sbr;activated.sludge;cocomposting;biogas.reactor;wsp;constructedwetland;application.urine;application.struvite;application.faeces;application.compost;application.stabilizedsludge;biogas.combustion;leach.field;soak.pit;irrigation
functional.group;U;U;U;U;Uadd;Uadd;Uadd;S;S;S;S;S;S;S;S;S;C;C;C;C;C;C;T;T;T;T;T;T;T;T;T;T;T;T;D;D;D;D;D;D;D;D;D
products; -> urine, faeces; -> excreta; -> blackwater; -> urine, blackwater;-> greywater;-> stormwater;-> organics;urine -> storedurine;faeces -> driedfaeces;faeces -> storedfaeces;faeces, excreta, blackwater -> sludge;faeces, excreta, blackwater -> pithumus;faeces, excreta, blackwater -> pithumus;faeces, excreta, organics -> compost, effluent;faeces, excreta, blackwater, organics -> compost, effluent;blackwater, greywater -> sludge, effluent;urine, storedurine, stabilizedurine;urine, storedurine, stabilizedurine;storedfaeces, driedfaeces, pithumus, compost, organics, sludge, stabilizedsludge;storedfaeces, driedfaeces, pithumus, compost, organics, sludge, stabilizedsludge;blackwater, greywater, effluent, stormwater;effluent, secondaryeffluent;transportedurine, transportedstoredurine -> transportedstabilizedurine;transportedurine, transportedstoredurine, transportedstabilizedurine -> struvite;storedfaeces, transportedstoredfaeces, pithumus, transportedpithumus, sludge, transportedsludge -> stabilizedsludge, transportedstabilizedsludge, effluent, transportedeffluent;transportedstoredfaeces -> transporteddriedfaeces;transportedpithumus, transportedsludge ->  transportedstabilizedsludge, transportedeffluent;blackwater, transportedblackwater, greywater, transportedgreywater, effluent, transportedeffluent -> stabilizedsludge, transportedstabilizedsludge, effluent, transportedeffluent;sludge, transportedsludge, blackwater, transportedblackwater, greywater, transportedgreywater, effluent, transportedeffluent -> stabilizedsludge, transportedstabilizedsludge, effluent, transportedeffluent;transportedblackwater, transportedgreywater, transportedeffluent -> transportedstabilizedsludge, transportedeffluent;storedfaeces, transportedstoredfaeces, pithumus, transportedpithumus, sludge, transportedsludge, organics, transportedorganics -> compost, transportedcompost, effluent, transportedeffluent;storedfaeces, transportedstoredfaeces, pithumus, transportedpithumus, organics, transportedorganics, blackwater, transportedblackwater, sludge, transportedsludge -> biogas, transportedbiogas, stabilizedsludge, transportedstabilizedsludge, effluent, transportedeffluent;transportedblackwater, transportedstormwater, transportedeffluent, transportedgreywater -> transportedsludge, transportedsecondaryeffluent;transportedblackwater, transportedstormwater, transportedeffluent, transportedgreywater -> transportedsludge, transportedsecondaryeffluent;storedurine, transportedstoredurine, stabilizedurine, transportedstabilizedurine -> ;struvite -> ;driedfaeces, transporteddriedfaeces -> ;compost, transportedcompost, pithumus, transportedpithumus -> ;stabilizedsludge, transportedstabilizedsludge, pithumus, transportedpithumus -> ;biogas -> ;effluent, transportedeffluent, secondaryeffluent, transportedsecondaryeffluent -> ;effluent, greywater, secondaryeffluent, urine, storedurine, stabilizedurine -> ;effluent, transportedeffluent, secondaryeffluent, transportedsecondaryeffluent, stormwater, transportedstormwater -> 
inrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;NA;XOR;OR;OR;NA;OR;OR;NA
outrel;AND;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;AND;urine > storedurine > stabilizedurine;urine > storedurine > stabilizedurine;storedfaeces > pithumus > organics > sludge > stabilizedsludge > driedfaeces > compost;storedfaeces > pithumus > organics > sludge > stabilizedsludge > driedfaeces > compost;blackwater > greywater > effluent > stormwater;effluent > secondaryeffluent;NA;NA;AND;AND;AND;AND;AND;AND;AND;AND;AND;AND;NA;NA;NA;NA;NA;NA;NA;NA;NA
techappscore;0.3779;1;0.44939;0.45026;0.89377;0.54443;0.97962;0.96015;0.9419;0.94156;0.95857;0.96038;0.54871;0.94576;0.92984;0.97681;0.96619;0.99974;0.97051;0.99987;0.50668;0.53606;0.98663;0.94212;0.44478;0.44396;0.32308;0.48549;0.49205;0.53588;0.48283;0.88103;0.49086;0.53892;0.96526;0.96338;0.96881;0.96195;0.96383;0.97842;0.91809;0.54725;0.99818
attr1;;;Water.supply;Water.supply;Water.supply;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;pcat;pcat;pcat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;c(A=0.5, B=1, C=1 , D=1 );c(A=0.5, B=1, C=1 , D=1 );c(A=0, B=0, C=0.5, D=1 );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Energy.supply;Energy.supply;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ptriangle;ptriangle;;;;;;;;;;;;;
