 ;dry.toilet;uddt;pour.flush;cistern.flush;urinal;micro.flush;single.pit;double.pit;dehydration.vault;septic.tank;vermi.composter;urine.storage.tank;fossa.alterna;terra.preta;humanpowered.transport;motorized.transport;simplified.sewer;solidsfree.sewer;conventional.sewer;abr;wsp;vf.constructed.wetland;biogas.reactor;drying.bed;uasb;hf.constructed.wetland;cocomposting;struvite.production;application.urine;application.compost;irrigation;soak.pit;biogas.combustion;vertical.gardens;application.struvite
functional.group;U;U;U;U;U;U;S;S;S;S;S;S;S;S;C;C;C;C;C;T;T;T;T;T;T;T;T;T;D;D;D;D;D;D;D
products; -> excreta; -> urine, faeces; -> blackwater; -> blackwater; -> urine; -> blackwater;excreta -> sludge;excreta -> pithumus;faeces -> driedfaeces;blackwater, greywater -> sludge, effluent;blackwater, faeces, excreta -> compost;urine -> storedurine;faeces, excreta -> pithumus;faeces, excreta -> pithumus;urine, storedurine, faeces, driedfaeces, compost, pithumus, sludge;urine, storedurine, faeces, driedfaeces, compost, pithumus, sludge  ;blackwater, effluent, greywater, stormwater;greywater, effluent, stormwater;blackwater, effluent, greywater, stormwater;transportedblackwater, transportedstormwater, transportedgreywater -> sludge, secondaryeffluent;transportedblackwater, transportedstormwater, transportedgreywater -> sludge, secondaryeffluent;transportedblackwater, transportedstormwater, transportedgreywater -> sludge, secondaryeffluent;faeces, transportedfaeces, driedfaeces, transporteddriedfaeces, pithumus, transportedpithumus, sludge, transportedsludge -> stabilizedsludge, effluent, biogas;faeces, transportedfaeces, driedfaces, transporteddriedfaeces, pithumus, transportedpithumus, sludge, transportedsludge -> stabilizedsludge, effluent;transportedblackwater, transportedstormwater, transportedgreywater -> stabilizedsludge, effluent, biogas;transportedblackwater, transportedstormwater, transportedgreywater -> sludge, secondaryeffluent;faeces, transportedfaeces, driedfaeces, transporteddriedfaeces, pithumus, transportedpithumus, sludge, transportedsludge -> compost, effluent;transportedurine, transportedstoredurine -> struvite;storedurine, transportedstoredurine -> ;compost, transportedcompost, pithumus, transportedpithumus -> ;secondaryeffluent -> ;secondaryeffluent, greywater, transportedgreywater, effluent, transportedeffluent -> ;biogas ->;greywater, transportedgreywater ->;struvite -> 
inrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;OR;OR;NA;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;OR;XOR;XOR;NA;OR;NA;OR;NA
outrel;NA;AND;NA;NA;NA;NA;NA;NA;NA;AND;NA;NA;NA;NA;sludge > pithumus > compost > faeces > driedfaeces > urine > storedurine;sludge > pithumus > compost > faeces > driedfaeces > urine > storedurine;blackwater > effluent > greywater > stormwater;effluent > greywater > stormwater;blackwater > effluent > greywater > stormwater;AND;AND;AND;AND;AND;AND;AND;AND;NA;NA;NA;NA;NA;NA;NA;NA
attr1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
