;arbaminch1;arbaminch2;arbaminch3
Description;woze;chamo;mehalketema
Inhabitants;13806;9279;8296
attr1;;;
;;;
;;;
attr2;;;
;;;
;;;
attr3;;;
;;;
;;;
attr4;;;
;;;
;;;
attr5;;;
;;;
;;;
attr6;;;
;;;
;;;
attr7;odor;odor;odor
;pcat;pcat;pcat
;c(low=1, moderate=0.67, high=0.33);c(low=1, moderate=0.67, high=0.33);c(low=1, moderate=0.67, high=0.33)
attr8;;;
;;;
;;;
attr9;;;
;;;
;;;
attr10;energyrecov;energyrecov;energyrecov
;dcat;dcat;dcat
;c(important=1, notimportant=0);c(important=1, notimportant=0);c(important=0, notimportant=1)
attr11;precov;precov;precov
;dcat;dcat;dcat
;c(important=0.5, notimportant=0.5);c(important=1, notimportant=0);c(important=0, notimportant=1)
attr12;exposure_use;exposure_use;exposure_use
;pcat;pcat;pcat
;c(low=1, medium=0.67, high=0.33);c(low=1, medium=0.67, high=0.33);c(low=1, medium=0.67, high=0.33)
attr13;;;
;;;
;;;
attr14;;;
;;;
;;;
attr15;;;
;;;
;;;
attr16;drinkexp;drinkexp;drinkexp
;dcat;dcat;dcat
;c(closer=0, notcloser=1);c(closer=0, notcloser=1);c(closer=0, notcloser=1)
attr17;;;
;;;
;;;
attr18;waterreq;waterreq;waterreq
;dcat;dcat;dcat
;c(house=0, yard=0.8, public=0.2, none=0);c(house=0.1, yard=0.9, public=0, none=0);c(house=0.2, yard=0.8, public=0, none=0)
attr19;energyreq;energyreq;energyreq
;dcat;dcat;dcat
;c(energy=0.8, noenergy=0.2);c(energy=0.8, noenergy=0.2);c(energy=0.8, noenergy=0.2)
attr20;;;
;;;
;;;
attr21;;;
;;;
;;;
attr22;concrete;concrete;concrete
;dcat;dcat;dcat
;c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=0)
attr23;;;
;;;
;;;
attr24;chemical;chemical;chemical
;dcat;dcat;dcat
;c(chemicals=0.2, nochemicals=0.8);c(chemicals=0.2, nochemicals=0.8);c(chemicals=0.2, nochemicals=0.8)
attr25;omreq;omreq;omreq
;dcat;dcat;dcat
;c(regular=0.5, irregular=0.5);c(regular=0.5, irregular=0.5);c(regular=0.5, irregular=0.5)
attr26;;;
;;;
;;;
attr27;;;
;;;
;;;
attr28;;;
;;;
;;;
attr29;;;
;;;
;;;
attr30;climate;climate;climate
;dcat;dcat;dcat
;c(trop=1, dry=0, subtrop=0, cont=0, pol=0);c(trop=1, dry=0, subtrop=0, cont=0, pol=0);c(trop=1, dry=0, subtrop=0, cont=0, pol=0)
attr31;temp;temp;temp
;dtriangle;dtriangle;dtriangle
;a=15, b=30, c=25;a=15, b=30, c=25;a=15, b=30, c=25
attr32;;;
;;;
;;;
attr33;flooding;flooding;flooding
;dcat;dcat;dcat
;c(flooding=0.25, noflooding=0.75);c(flooding=1, noflooding=0);c(flooding=0.5, noflooding=0.5)
attr34;area;area;area
;dtrapez;dtrapez;dtrapez
;a=0, b=2, c=5, d=30;a=0, b=2, c=10, d=30;a=0, b=2, c=5, d=15
attr35;access;access;access
;dcat;dcat;dcat
;c(noaccess=0, narrow=0.3, full=0.7);c(noaccess=0, narrow=0.3, full=0.7);c(noaccess=0, narrow=0.3, full=0.7)
attr36;slope;slope;slope
;drange;drange;drange
;lower=0, upper=5;lower=0, upper=10;lower=0, upper=25
attr37;soil;soil;soil
;dcat;dcat;dcat
;c(clayey=0.2, silty=0.3, sandy=0.5, gravelly=0);c(clayey=0.1, silty=0.2, sandy=0.7, gravelly=0);c(clayey=0.1, silty=0.2, sandy=0.7, gravelly=0)
attr38;groundwater;groundwater;groundwater
;drange;drange;drange
;lower=20, upper=200;lower=20, upper=200;lower=20, upper=200
attr39;excavation;excavation;excavation
;dcat;dcat;dcat
;c(easy=1, hard=0);c(easy=1, hard=0);c(easy=0.5, hard=0.5)
attr40;constrskill;constrskill;constrskill
;pcat;pcat;pcat
;c(low=1, moderate=1, high=1);c(low=1, moderate=1, high=1);c(low=1, moderate=1, high=1)
attr41;designskill;designskill;designskill
;pcat;pcat;pcat
;c(low=1, moderate=1, high=1);c(low=1, moderate=1, high=1);c(low=1, moderate=1, high=1)
attr42;omskill;omskill;omskill
;pcat;pcat;pcat
;c(low=1, moderate=1, high=0.8);c(low=1, moderate=1, high=0.8);c(low=1, moderate=1, high=0.8)
attr43;orgcapacity;orgcapacity;orgcapacity
;dcat;dcat;dcat
;c(household=0.5, shared=0.2, public=0.3);c(household=0.5, shared=0.2, public=0.3);c(household=0.5, shared=0.2, public=0.3)
attr44;;;
;;;
;;;
attr45;;;
;;;
;;;
attr46;relconstraints;relconstraints;relconstraints
;dcat;dcat;dcat
;c(water=0.7, soft=0.1, hard=0.2);c(water=0.7, soft=0.1, hard=0.2);c(water=0.5, soft=0.2, hard=0.3)
attr47;cultconstraints;cultconstraints;cultconstraints
;pcat;pcat;pcat
;c(contact=0.5, nocontact=1);c(contact=0.5, nocontact=1);c(contact=0.5, nocontact=1)
attr48;;;
;;;
;;;
attr49;;;
;;;
;;;
attr50;;;
;;;
;;;
attr51;;;
;;;
;;;
attr52;;;
;;;
;;;
attr53;;;
;;;
;;;
attr54;;;
;;;
;;;
attr55;;;
;;;
;;;
attr56;;;
;;;
;;;
attr57;;;
;;;
;;;
attr58;popdensity;popdensity;popdensity
;drange;drange;drange
;lower=154, upper=250;lower=154, upper=250;lower=154, upper=250
attr59;;;
