"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Population.density ";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Pipe.supply";"Concrete.supply";"Spare.parts.supply";"Surface.area.onsite";"Surface.area.offsite";"population.change.rate";"Cleansing.method"
"Katarniya";"uddt";"U";0.953155561484865;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;0.915585137448221;1;1;0.92031;NA;NA;0.84823;NA;NA;NA;NA
"Katarniya";"drytoilet";"U";0.965960022947904;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;1;1;0.92141;NA;NA;0.85165;NA;NA;NA;NA
"Katarniya";"pour.flush";"U";0.969779815426732;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;1;1;0.91921;NA;NA;0.85108;NA;NA;NA;NA
"Katarniya";"udft";"U";0.969808072900299;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;1;1;1;0.92082;NA;NA;0.84979;NA;NA;NA;NA
"Katarniya";"tab";"Uadd";0.719981966605975;0.631;NA;1;1;NA;NA;NA;NA;NA;NA;NA;0.916476084789181;0.834903029779992;1;0.14955;NA;NA;1;NA;NA;NA;NA
"Katarniya";"drainage";"Uadd";0.805372908114188;NA;NA;1;1;NA;NA;0.933909796789974;NA;1;1;NA;1;0.836272656950659;1;0.147;NA;NA;1;NA;NA;NA;NA
"Katarniya";"organic.solidwaste";"Uadd";0.972116932368052;NA;NA;1;1;NA;0.939257903029114;NA;NA;NA;NA;NA;NA;NA;NA;0.9508;NA;NA;NA;NA;NA;NA;NA
"Katarniya";"urine.storagetank";"S";0.975330575027728;NA;NA;1;0.870930850494504;NA;0.940223358148837;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;NA;NA;NA;NA
"Katarniya";"dehydration.vault";"S";0.9629847946574;NA;NA;1;0.798558727092071;0.999983042308688;0.938605726467027;NA;NA;NA;NA;NA;1;1;1;0.95015;NA;NA;1;NA;NA;NA;NA
"Katarniya";"faecesstorage.chamber";"S";0.963384392826348;NA;NA;1;0.801579745129142;1;0.937415705477834;NA;NA;NA;NA;NA;1;1;1;0.9513;NA;NA;1;NA;NA;NA;NA
"Katarniya";"single.pit";"S";0.96414312087209;NA;NA;1;0.801319314317217;1;0.939514718020823;NA;0.9739;0.974726937009813;1;NA;1;1;1;0.9028;NA;NA;1;NA;NA;NA;NA
"Katarniya";"double.pit";"S";0.968249683988731;NA;NA;1;0.795738780673448;1;0.940007921015642;NA;0.9767;0.976323662472053;1;NA;1;1;1;0.9519;NA;NA;1;NA;NA;NA;NA
"Katarniya";"twin.pits";"S";0.999879111196101;NA;NA;NA;NA;0.999879111196101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Katarniya";"composting.chamber";"S";0.963793985008925;NA;NA;1;0.804129992343559;1;0.940050181428978;NA;NA;NA;NA;NA;1;1;1;0.94925;NA;NA;1;NA;NA;NA;NA
"Katarniya";"vermi.composter";"S";0.953485543736964;NA;NA;1;0.727887408973171;1;0.940143818060614;NA;NA;NA;NA;NA;1;1;1;0.95185;NA;NA;1;NA;NA;NA;NA
"Katarniya";"septic.tank";"S";0.988036672634568;NA;NA;1;0.952227156251202;0.999914863908291;0.942440612754192;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;NA;NA;NA;NA
"Katarniya";"motorized.transport.urine";"C";0.726878521104621;NA;NA;1;1;NA;0.8595;1;NA;NA;NA;NA;NA;NA;1;0.1467;NA;NA;0.85027;NA;NA;NA;NA
"Katarniya";"humanpowered.transport.urine";"C";0.999901602557886;NA;NA;1;1;NA;0.99931142119505;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA
"Katarniya";"motorized.transport.dry";"C";0.734034784901747;NA;NA;1;1;NA;0.8554;1;NA;NA;NA;NA;NA;NA;1;0.15745;NA;NA;0.85252;NA;NA;NA;NA
"Katarniya";"humanpowered.transport.dry";"C";0.999855961793867;NA;NA;1;1;NA;0.99899216813959;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA
"Katarniya";"conventional.sewer";"C";0.70681632488663;NA;NA;1;1;1;0.888554430175136;0.730284807070008;NA;0.99702612640157;1;NA;0.495783874834492;0.838614479488153;0.622864081956508;0.0928;NA;NA;1;NA;NA;NA;NA
"Katarniya";"solidsfree.sewer";"C";0.847851514249781;NA;NA;1;1;1;0.937634637753362;0.644481126192856;NA;1;1;NA;0.500262730504177;0.83485752802173;0.917431008483469;0.59595;NA;NA;1;NA;NA;NA;NA
"Katarniya";"urine.bank";"T";0.990041183096058;NA;NA;1;0.9853;NA;0.936823121725299;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;NA;NA;NA;NA
"Katarniya";"struvite.production";"T";0.957458990133882;NA;NA;1;0.865266836132449;NA;0.93973387150721;NA;NA;NA;NA;NA;0.914961943771816;1;1;0.9493;NA;NA;1;NA;NA;NA;NA
"Katarniya";"drying.bed";"T";0.815742191595331;NA;NA;1;0.907047887111368;1;0.937468082728045;0.998097031455247;NA;1;1;NA;1;1;1;0.1023;NA;NA;1;NA;NA;NA;NA
"Katarniya";"faecesdrying.bed";"T";0.814745668577997;NA;NA;1;0.910136860136628;1;0.934477941944638;0.997995156797917;NA;1;1;NA;1;1;1;0.1008;NA;NA;1;NA;NA;NA;NA
"Katarniya";"sedimentation.pond";"T";0.786045655474538;NA;NA;1;0.9755;1;0.938093820191383;0.997992443642799;NA;NA;NA;NA;1;1;1;0.0986;NA;NA;1;NA;NA;NA;NA
"Katarniya";"abr";"T";0.923300556127951;NA;NA;1;0.873404403782519;0.999946343542635;0.940693379490778;1;NA;NA;NA;NA;0.917867742435755;1;1;0.59705;NA;NA;1;NA;NA;NA;NA
