"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Spare.parts.supply"
"Katarniya";"uddt";"U";0.934801533551882;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;0.91581834283822;1;NA;0.91862;0.8485
"Katarniya";"drytoilet";"U";0.95097017707781;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;0.91557;0.84946
"Katarniya";"pour.flush";"U";0.960089200378897;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;0.92134;0.85006
"Katarniya";"udft";"U";0.95965369282841;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;0.91754;0.85126
"Katarniya";"tab";"Uadd";0.650681603353651;0.63845;NA;NA;1;NA;NA;NA;NA;NA;NA;0.915779660954822;0.832353681353618;NA;0.15595;1
"Katarniya";"drainage";"Uadd";0.764775417156778;NA;NA;NA;1;NA;NA;0.933569209842717;NA;1;1;1;0.832891321739634;NA;0.1505;1
"Katarniya";"organic.solidwaste";"Uadd";0.963503563878856;NA;NA;NA;1;NA;0.9420305932625;NA;NA;NA;NA;NA;NA;NA;0.9495;NA
"Katarniya";"urine.storagetank";"S";0.967038249660539;NA;NA;NA;0.871605283413993;NA;0.938300741122239;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"dehydration.vault";"S";0.952960771510772;NA;NA;NA;0.796428066409145;1;0.941923126398737;NA;NA;NA;NA;1;1;NA;0.9514;1
"Katarniya";"faecesstorage.chamber";"S";0.953895542512922;NA;NA;NA;0.803746273107894;1;0.93952753249557;NA;NA;NA;NA;1;1;NA;0.95165;1
"Katarniya";"single.pit";"S";0.955972764080035;NA;NA;NA;0.789596910242027;0.99993338541612;0.939781046779127;NA;0.97475;0.975831491027832;1;1;1;NA;0.9032;1
"Katarniya";"double.pit";"S";0.961946437803692;NA;NA;NA;0.800095110020763;0.999989351087809;0.93809004541913;NA;0.9744;0.976127468737608;1;1;1;NA;0.95035;1
"Katarniya";"twin.pits";"S";0.931784567499231;NA;NA;NA;1;1;NA;1;0.55;1;1;1;1;NA;0.897;1
"Katarniya";"composting.chamber";"S";0.951112014626023;NA;NA;NA;0.78710423093521;1;0.940608525476544;NA;NA;NA;NA;1;1;NA;0.951;1
