case         ; tech              ; techapp.score ; techapp.profile 
Katarniya    ; uddt                 ;    0.65063 ; Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Flooding = 0.0080684 ,  Population.density  = 1 ,  Construction.skills  = 0.91529 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.9186 ,  Concrete.supply = 1 ,  Spare.parts.supply = 0.8482 ,  Surface.area = NA ,  User.awareness.requirements(misuse) = NA ,  Cleansing.method = 1 ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; drytoilet            ;     0.9809 ; Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Flooding = 1 ,  Population.density  = 1 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.9214 ,  Concrete.supply = 1 ,  Spare.parts.supply = 0.8611 ,  Surface.area = NA ,  User.awareness.requirements(misuse) = NA ,  Cleansing.method = 1 ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; pour.flush           ;    0.63178 ; Water.supply = NA ,  Water.supply.disruption = NA ,  Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Flooding = 0.0081607 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.9214 ,  Concrete.supply = 1 ,  Spare.parts.supply = 0.8512 ,  Surface.area = NA ,  User.awareness.requirements(misuse) = NA ,  Cleansing.method = 1 ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; low.flush            ;    0.63176 ; Water.supply = NA ,  Water.supply.disruption = NA ,  Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Flooding = 0.0081466 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.9234 ,  Concrete.supply = 1 ,  Spare.parts.supply = 0.8506 ,  Surface.area = NA ,  User.awareness.requirements(misuse) = NA ,  Cleansing.method = 1 ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; tab                  ;    0.76735 ; Water.supply = NA ,  Water.supply.disruption = NA ,  Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Construction.skills  = 0.91429 ,  Design.skills  = 0.81917 ,  O&M.skills = 1 ,  Management = 0.1605 ,  Pipe.supply = 1 ,  Spare.parts.supply = 1 ,  User.awareness.requirements(misuse) = NA 
Katarniya    ; drainage             ;    0.56161 ; Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Flooding = 0.0085417 ,  Slope = 0.92587 ,  Groundwater.depth = 1 ,  Excavation = 1 ,  Construction.skills  = 1 ,  Design.skills  = 0.84117 ,  O&M.skills = 1 ,  Management = 0.148 ,  Spare.parts.supply = 1 ,  Surface.area = NA ,  Potential.to.accommodate.for.changing.water.volumes = NA ,  User.awareness.requirements(misuse) = NA ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; organic.solidwaste   ;    0.97926 ; Frequency.of.O&M = 1 ,  Temperature.range = 1 ,  Vehicular.access  = 0.94441 ,  Management = 0.9535 ,  Surface.area = NA ,  User.awareness.requirements(misuse) = NA ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; urine.storagetank    ;    0.98245 ; Frequency.of.O&M = 1 ,  Temperature.range = 0.87639 ,  Vehicular.access  = 0.93907 ,  Population.density  = 1 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 1 ,  Concrete.supply = 1 ,  Spare.parts.supply = 1 ,  Surface.area = NA ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; dehydration.vault    ;    0.97149 ; Frequency.of.O&M = 1 ,  Temperature.range = 0.79978 ,  Vehicular.access  = 0.94651 ,  Population.density  = 1 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.961 ,  Concrete.supply = 1 ,  Spare.parts.supply = 1 ,  Surface.area = NA ,  Odor = NA ,  Surface.area.onsite = 1 
Katarniya    ; single.pit           ;    0.96755 ; Frequency.of.O&M = 1 ,  Temperature.range = 0.80269 ,  Vehicular.access  = 0.93878 ,  Soil.type/hydraulic.conductivity = 0.975 ,  Groundwater.depth = 0.97845 ,  Excavation = 1 ,  Population.density  = 1 ,  Construction.skills  = 1 ,  Design.skills  = 1 ,  O&M.skills = 1 ,  Management = 0.906 ,  Spare.parts.supply = 1 ,  Surface.area = NA ,  Odor = NA ,  Surface.area.onsite = 1 
