case         ; tech              ; techapp.score ; techapp.profile 
arbaminch1   ; biogas.combustion    ;    0.99467 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.9148 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch1   ; irrigation           ;    0.97555 ; odor = 0.67 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.93887 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch1   ; hf.constructed.wetland ;    0.96896 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.749 ,  lifetime = 1 ,  temp = 0.9882 ,  flooding = 1 ,  area = 0.782 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.798 
arbaminch1   ; gsap                 ;     0.9665 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7455 ,  lifetime = 1 ,  climate = 1 ,  flooding = 1 ,  area = 0.931 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.62 ,  relconstraints = 1 
arbaminch1   ; vertical.gardens     ;    0.95941 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.97861 ,  flooding = 1 ,  area = 0.522 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.85 
arbaminch1   ; application.compost  ;    0.95432 ; odor = 1 ,  precov = 0.494 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.93163 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.8435 
arbaminch1   ; cocomposting         ;    0.95018 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7395 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.754 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.4105 ,  relconstraints = 1 
arbaminch1   ; dehydration.vault    ;    0.94452 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.757 ,  lifetime = 1 ,  climate = 1 ,  flooding = 1 ,  area = 0.68197 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.8475 ,  relconstraints = 0.5485 
arbaminch1   ; urinal               ;     0.9383 ; odor = 0.67 ,  precov = 0.7635 ,  normexp = 0.82609 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 1 
arbaminch1   ; terra.preta          ;     0.9374 ; odor = 1 ,  precov = 0.498 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.477 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.884 ,  area = 0.928 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.8985 
