;pour.flush;UDDT;septic.tank;single.pit;wsp;surface.flow.CW
functional.group;S,T;U;S,T;S;T;T
products.in;blackwater, urine, greywater;urine, faeces, dry cleansing materials, anal cleansing water;blackwater, brownwater, greywater;faeces, excreta, blackwater, dry cleansing materials, anal cleansing water;blackwater, brownwater, greywater, sludge;blackwater, brownwater, greywater, effluent
products.out;sludge, effluent;urine, faeces, dry cleansing materials, anal cleansing water;effluent, sludge;sludge;effluent, sludge;effluent, biomass
attr1;coliform.liquid;coliform.liquid;coliform.liquid;coliform.liquid;coliform.liquid;coliform.liquid
;dtriangle;dunif;dtriangle;dtriangle;dtriangle;dunif
;a=38000, b=900000, c=470000;min=0, max=260;a=0, b=4000, c=800;a=0, b=4000, c=1000;a=1, b=3600, c=1000;min=1, max=43
attr2;totsolids.liquid;totsolids.liquid;totsolids.liquid;totsolids.liquid;totsolids.liquid;totsolids.liquid
;dunif;dunif;dtriangle;dtriangle;dunif;dunif
;min=0, max=80;min=0, max=80;a=0, b=2000, c=295;a=30000, b=52000, c=40000;min=40, max=60;min=8, max=43
attr3;bod.liquid;bod.liquid;bod.liquid;bod.liquid;bod.liquid;bod.liquid
;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dunif
;a=0, b=14508, c=7254;a=0, b=14508, c=7254;a=0, b=7600, c=3800;a=0, b=7600, c=3800;a=36, b=730, c=347;min=5.4, max=19
attr4;cod.liquid;cod.liquid;cod.liquid;cod.liquid;cod.liquid;cod.liquid
;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dunif
;a=6270, b=17500, c=11800;a=6270, b=17500, c=11800;a=0, b=2000, c=646;a=20000, b=49000, c=34500;a=89, b=1323, c=617;min=5.94, max=77
attr5;totp.liquid;totp.liquid;totp.liquid;totp.liquid;totp.liquid;totp.liquid
;dtriangle;dtriangle;dunif;dunif;dunif;dunif
;a=350, b=2500, c=1425;a=230, b=2500, c=1140;min=0, max=200;min=0, max=500;min=0, max=6;min=0.53, max=2.2
attr6;totn.liquid;totn.liquid;totn.liquid;totn.liquid;totn.liquid;totn.liquid
;dtriangle;dtriangle;dunif;dtriangle;dunif;dunif
;a=5000, b=13900, c=9450;a=2500, b=13900, c=8200;min=9, max=240;a=2000, b=3400, c=2700;min=14, max=105;min=8.9, max=11.6
attr7;annual.costs;annual.costs;annual.costs;annual.costs;annual.costs;annual.costs
;dunif;dunif;dunif;dunif;dunif;dunif
;min=5, max=9;min=1, max=5;min=0, max=33;min=4, max=7;min=10, max=20;min=0.60, max=2.85
